field_code	rule_type	deduct_score	description
A12C	value_check	1.00	入院途径必须在RC026字典范围内
C43x34C	value_check	1.00	其他手术操作麻醉方式34必须在RC013字典范围内
C08x39C	value_check	1.00	出院其他诊断入院病情39 字符 必须在RC027字典范围内
C08x36C	value_check	1.00	出院其他诊断入院病情36 字符 必须在RC027字典范围内
C08x24C	value_check	1.00	出院其他诊断入院病情24 字符 必须在RC027字典范围内
C08x02C	value_check	1.00	出院其他诊断入院病情2 字符 必须在RC027字典范围内
C08x28C	value_check	1.00	出院其他诊断入院病情28 字符 必须在RC027字典范围内
C43x29C	value_check	1.00	其他手术操作麻醉方式29必须在RC013字典范围内
C43x08C	value_check	1.00	其他手术操作麻醉方式8必须在RC013字典范围内
C43x35C	value_check	1.00	其他手术操作麻醉方式35必须在RC013字典范围内
A12C	value_check	1.00	离院方式必须在RC019字典范围内
C43x20C	value_check	1.00	其他手术操作麻醉方式20必须在RC013字典范围内
C43x26C	value_check	1.00	其他手术操作麻醉方式26必须在RC013字典范围内
