Line	Field Code	Rule Type	Description
1909	operation_end_timex04	cross_check	其他手术操作4结束时间大于出院时间
1910	operation_end_timex05	cross_check	其他手术操作5结束时间大于出院时间
1911	operation_end_timex06	cross_check	其他手术操作6结束时间大于出院时间
1912	operation_end_timex07	cross_check	其他手术操作7结束时间大于出院时间
1913	operation_end_timex08	cross_check	其他手术操作8结束时间大于出院时间
1914	operation_end_timex09	cross_check	其他手术操作9结束时间大于出院时间
1915	operation_end_timex10	cross_check	其他手术操作10结束时间大于出院时间
1916	operation_end_timex11	cross_check	其他手术操作11结束时间大于出院时间
1917	operation_end_timex12	cross_check	其他手术操作12结束时间大于出院时间
1918	operation_end_timex13	cross_check	其他手术操作13结束时间大于出院时间
1919	operation_end_timex14	cross_check	其他手术操作14结束时间大于出院时间
1920	operation_end_timex15	cross_check	其他手术操作15结束时间大于出院时间
1921	operation_end_timex16	cross_check	其他手术操作16结束时间大于出院时间
1922	operation_end_timex17	cross_check	其他手术操作17结束时间大于出院时间
1923	operation_end_timex18	cross_check	其他手术操作18结束时间大于出院时间
1924	operation_end_timex19	cross_check	其他手术操作19结束时间大于出院时间
1925	operation_end_timex20	cross_check	其他手术操作20结束时间大于出院时间
1926	operation_end_timex21	cross_check	其他手术操作21结束时间大于出院时间
1927	operation_end_timex22	cross_check	其他手术操作22结束时间大于出院时间
1928	operation_end_timex23	cross_check	其他手术操作23结束时间大于出院时间
1929	operation_end_timex24	cross_check	其他手术操作24结束时间大于出院时间
1930	operation_end_timex25	cross_check	其他手术操作25结束时间大于出院时间
1931	operation_end_timex26	cross_check	其他手术操作26结束时间大于出院时间
1932	operation_end_timex27	cross_check	其他手术操作27结束时间大于出院时间
1933	operation_end_timex28	cross_check	其他手术操作28结束时间大于出院时间
1934	operation_end_timex29	cross_check	其他手术操作29结束时间大于出院时间
1935	operation_end_timex30	cross_check	其他手术操作30结束时间大于出院时间
1936	operation_end_timex31	cross_check	其他手术操作31结束时间大于出院时间
1937	operation_end_timex32	cross_check	其他手术操作32结束时间大于出院时间
1938	operation_end_timex33	cross_check	其他手术操作33结束时间大于出院时间
1939	operation_end_timex34	cross_check	其他手术操作34结束时间大于出院时间
1940	operation_end_timex35	cross_check	其他手术操作35结束时间大于出院时间
1941	operation_end_timex36	cross_check	其他手术操作36结束时间大于出院时间
1942	operation_end_timex37	cross_check	其他手术操作37结束时间大于出院时间
1943	operation_end_timex38	cross_check	其他手术操作38结束时间大于出院时间
1944	operation_end_timex39	cross_check	其他手术操作39结束时间大于出院时间
1945	operation_end_timex40	cross_check	其他手术操作40结束时间大于出院时间
1946	operation_end_timex01	date_check	其他手术操作1结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1947	operation_end_timex02	date_check	其他手术操作2结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1948	operation_end_timex03	date_check	其他手术操作3结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1949	operation_end_timex04	date_check	其他手术操作4结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1950	operation_end_timex05	date_check	其他手术操作5结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1951	operation_end_timex06	date_check	其他手术操作6结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1952	operation_end_timex07	date_check	其他手术操作7结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1953	operation_end_timex08	date_check	其他手术操作8结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1954	operation_end_timex09	date_check	其他手术操作9结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1955	operation_end_timex10	date_check	其他手术操作10结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1956	operation_end_timex11	date_check	其他手术操作11结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1957	operation_end_timex12	date_check	其他手术操作12结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1958	operation_end_timex13	date_check	其他手术操作13结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1959	operation_end_timex14	date_check	其他手术操作14结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1960	operation_end_timex15	date_check	其他手术操作15结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1961	operation_end_timex16	date_check	其他手术操作16结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1962	operation_end_timex17	date_check	其他手术操作17结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1963	operation_end_timex18	date_check	其他手术操作18结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1964	operation_end_timex19	date_check	其他手术操作19结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
